파일명,작성시간,수정시간,확장자,용량,파일경로
새 Microsoft Publisher Document,2022-06-02 12:24:56.370177,2022-06-02 12:24:56.371179,pub,59904B,C:\Users\CDH\Desktop\3학년 수강\xptmxm\새 Microsoft Publisher Document.pub
새 텍스트 문서,2022-06-02 12:24:58.920987,2022-06-02 12:24:58.920987,txt,0B,C:\Users\CDH\Desktop\3학년 수강\xptmxm\새 텍스트 문서.txt
새 Microsoft Access Database,2022-06-02 13:03:18.386709,2022-06-02 13:03:18.386709,accdb,495616B,C:\Users\CDH\Desktop\3학년 수강\xptmxm\새 Microsoft Access Database.accdb
새 Microsoft Publisher Document,2022-06-02 13:03:13.288618,2022-06-02 13:03:13.288618,pub,59904B,C:\Users\CDH\Desktop\3학년 수강\xptmxm\새 Microsoft Publisher Document.pub
새 Microsoft Word 문서 (2),2022-06-02 13:10:07.285007,2022-06-02 13:10:07.285007,docx,0B,C:\Users\CDH\Desktop\3학년 수강\xptmxm\새 Microsoft Word 문서 (2).docx
새 Microsoft Word 문서,2022-06-02 13:05:49.539889,2022-06-02 13:05:49.539889,docx,0B,C:\Users\CDH\Desktop\3학년 수강\xptmxm\새 Microsoft Word 문서.docx
새 텍스트 문서,2022-06-02 13:10:11.022146,2022-06-02 13:10:11.022146,txt,0B,C:\Users\CDH\Desktop\3학년 수강\xptmxm\새 텍스트 문서.txt
새 Microsoft Word 문서 (2),2022-06-02 13:11:45.440645,2022-06-02 13:11:45.440645,docx,0B,C:\Users\CDH\Desktop\3학년 수강\xptmxm\새 Microsoft Word 문서 (2).docx
새 Microsoft Word 문서,2022-06-02 13:11:42.736596,2022-06-02 13:11:42.736596,docx,0B,C:\Users\CDH\Desktop\3학년 수강\xptmxm\새 Microsoft Word 문서.docx
새 텍스트 문서,2022-06-02 13:11:47.916695,2022-06-02 13:11:47.916695,txt,0B,C:\Users\CDH\Desktop\3학년 수강\xptmxm\새 텍스트 문서.txt
